Generation 1: Best Fitness: 93.207043, Mean Fitness: 57.295597
Generation 2: Best Fitness: 92.818216, Mean Fitness: 62.442493
Generation 3: Best Fitness: 92.658358, Mean Fitness: 74.466656
Generation 4: Best Fitness: 92.932142, Mean Fitness: 70.965902
Generation 5: Best Fitness: 92.690612, Mean Fitness: 72.274624
Generation 6: Best Fitness: 93.409567, Mean Fitness: 77.505311
Generation 7: Best Fitness: 93.202788, Mean Fitness: 77.646939
Generation 8: Best Fitness: 93.202788, Mean Fitness: 80.239752
Generation 9: Best Fitness: 93.318596, Mean Fitness: 79.109685
Generation 10: Best Fitness: 93.409567, Mean Fitness: 78.434259
Generation 11: Best Fitness: 93.409567, Mean Fitness: 75.221069
Generation 12: Best Fitness: 92.690612, Mean Fitness: 78.511106
Generation 13: Best Fitness: 93.067281, Mean Fitness: 78.022228
Generation 14: Best Fitness: 92.937405, Mean Fitness: 81.768374
Generation 15: Best Fitness: 93.207043, Mean Fitness: 79.013889
Generation 16: Best Fitness: 92.846708, Mean Fitness: 78.503588
Generation 15: Best Fitness: 93.409567, Mean Fitness: 79.044813, Standard Deviation Fitness: 20.187294
Generation 16: Best Fitness: 92.647040, Mean Fitness: 76.543050, Standard Deviation Fitness: 24.292821
Generation 17: Best Fitness: 93.882006, Mean Fitness: 80.768088, Standard Deviation Fitness: 17.945958
Generation 18: Best Fitness: 93.331940, Mean Fitness: 83.251204, Standard Deviation Fitness: 17.089148
Generation 19: Best Fitness: 93.207043, Mean Fitness: 74.783602, Standard Deviation Fitness: 28.657582
Generation 20: Best Fitness: 93.002788, Mean Fitness: 76.808157, Standard Deviation Fitness: 25.919765
Generation 21: Best Fitness: 93.002788, Mean Fitness: 80.434452, Standard Deviation Fitness: 21.170005
Generation 22: Best Fitness: 93.409567, Mean Fitness: 79.719206, Standard Deviation Fitness: 23.870404
Generation 23: Best Fitness: 93.207043, Mean Fitness: 78.868213, Standard Deviation Fitness: 21.943693
Generation 24: Best Fitness: 93.409567, Mean Fitness: 83.766542, Standard Deviation Fitness: 16.034664
Generation 25: Best Fitness: 93.002788, Mean Fitness: 82.755478, Standard Deviation Fitness: 18.699900
Generation 26: Best Fitness: 93.002788, Mean Fitness: 80.265280, Standard Deviation Fitness: 20.305395
Generation 27: Best Fitness: 93.337405, Mean Fitness: 83.028527, Standard Deviation Fitness: 14.967345
Generation 28: Best Fitness: 93.409567, Mean Fitness: 81.657581, Standard Deviation Fitness: 18.907360
Generation 29: Best Fitness: 92.658358, Mean Fitness: 83.199934, Standard Deviation Fitness: 16.209416
Generation 30: Best Fitness: 93.409567, Mean Fitness: 81.406458, Standard Deviation Fitness: 19.957798
